STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,TMAX,TMIN,TOBS
USW00094789,40.63915,-73.76401,3.4,1/1/2009,-2.2,-8.9,
USW00094789,40.63915,-73.76401,3.4,1/2/2009,2.8,-5,
USW00094789,40.63915,-73.76401,3.4,1/3/2009,5,-1.1,
USW00094789,40.63915,-73.76401,3.4,1/4/2009,6.7,-3.3,
USW00094789,40.63915,-73.76401,3.4,1/5/2009,7.2,2.8,
USW00094789,40.63915,-73.76401,3.4,1/6/2009,3.9,0,
USW00094789,40.63915,-73.76401,3.4,1/7/2009,4.4,0.6,
USW00094789,40.63915,-73.76401,3.4,1/8/2009,5,-1.1,
USW00094789,40.63915,-73.76401,3.4,1/9/2009,2.2,-2.8,
USW00094789,40.63915,-73.76401,3.4,1/10/2009,0,-4.4,
USW00094789,40.63915,-73.76401,3.4,1/11/2009,1.7,-3.9,
USW00094789,40.63915,-73.76401,3.4,1/12/2009,1.1,-6.1,
USW00094789,40.63915,-73.76401,3.4,1/13/2009,4.4,-3.9,
USW00094789,40.63915,-73.76401,3.4,1/14/2009,2.8,-7.8,
USW00094789,40.63915,-73.76401,3.4,1/15/2009,-4.4,-10,
USW00094789,40.63915,-73.76401,3.4,1/16/2009,-7.2,-11.7,
USW00094789,40.63915,-73.76401,3.4,1/17/2009,-5,-13.9,
USW00094789,40.63915,-73.76401,3.4,1/18/2009,0.6,-5,
USW00094789,40.63915,-73.76401,3.4,1/19/2009,0,-6.7,
USW00094789,40.63915,-73.76401,3.4,1/20/2009,-1.7,-6.1,
USW00094789,40.63915,-73.76401,3.4,1/21/2009,-2.8,-8.3,
USW00094789,40.63915,-73.76401,3.4,1/22/2009,2.8,-6.1,
USW00094789,40.63915,-73.76401,3.4,1/23/2009,5.6,-3.9,
USW00094789,40.63915,-73.76401,3.4,1/24/2009,6.7,-8.3,
USW00094789,40.63915,-73.76401,3.4,1/25/2009,-1.7,-9.4,
USW00094789,40.63915,-73.76401,3.4,1/26/2009,-1.7,-6.7,
USW00094789,40.63915,-73.76401,3.4,1/27/2009,-0.6,-2.8,
USW00094789,40.63915,-73.76401,3.4,1/28/2009,5.6,-3.9,
USW00094789,40.63915,-73.76401,3.4,1/29/2009,2.8,-2.2,
USW00094789,40.63915,-73.76401,3.4,1/30/2009,2.2,-3.9,
USW00094789,40.63915,-73.76401,3.4,1/31/2009,-1.1,-5.6,
USW00094789,40.63915,-73.76401,3.4,2/1/2009,10,-2.2,
USW00094789,40.63915,-73.76401,3.4,2/2/2009,11.7,0,
USW00094789,40.63915,-73.76401,3.4,2/3/2009,2.8,-3.3,
USW00094789,40.63915,-73.76401,3.4,2/4/2009,-1.1,-8.3,
USW00094789,40.63915,-73.76401,3.4,2/5/2009,-4.4,-11.1,
USW00094789,40.63915,-73.76401,3.4,2/6/2009,-1.1,-8.9,
USW00094789,40.63915,-73.76401,3.4,2/7/2009,6.1,-7.2,
USW00094789,40.63915,-73.76401,3.4,2/8/2009,16.1,2.8,
USW00094789,40.63915,-73.76401,3.4,2/9/2009,8.3,0,
USW00094789,40.63915,-73.76401,3.4,2/10/2009,9.4,-1.1,
USW00094789,40.63915,-73.76401,3.4,2/11/2009,16.7,3.3,
USW00094789,40.63915,-73.76401,3.4,2/12/2009,12.8,7.2,
USW00094789,40.63915,-73.76401,3.4,2/13/2009,7.8,0,
USW00094789,40.63915,-73.76401,3.4,2/14/2009,6.1,-2.2,
USW00094789,40.63915,-73.76401,3.4,2/15/2009,6.7,-1.7,
USW00094789,40.63915,-73.76401,3.4,2/16/2009,5,-2.2,
USW00094789,40.63915,-73.76401,3.4,2/17/2009,5.6,-3.3,
USW00094789,40.63915,-73.76401,3.4,2/18/2009,6.1,-2.8,
USW00094789,40.63915,-73.76401,3.4,2/19/2009,10.6,-2.2,
USW00094789,40.63915,-73.76401,3.4,2/20/2009,1.7,-4.4,
USW00094789,40.63915,-73.76401,3.4,2/21/2009,5,-2.8,
USW00094789,40.63915,-73.76401,3.4,2/22/2009,7.2,0,
USW00094789,40.63915,-73.76401,3.4,2/23/2009,2.2,-3.9,
USW00094789,40.63915,-73.76401,3.4,2/24/2009,3.3,-5,
USW00094789,40.63915,-73.76401,3.4,2/25/2009,3.3,-4.4,
USW00094789,40.63915,-73.76401,3.4,2/26/2009,8.3,-1.1,
USW00094789,40.63915,-73.76401,3.4,2/27/2009,11.7,1.1,
USW00094789,40.63915,-73.76401,3.4,2/28/2009,11.1,0.6,
USW00094789,40.63915,-73.76401,3.4,3/1/2009,2.2,-1.7,
USW00094789,40.63915,-73.76401,3.4,3/2/2009,-1.1,-8.3,
USW00094789,40.63915,-73.76401,3.4,3/3/2009,-2.8,-10.6,
