STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,TMAX,TMIN,TOBS
USW00094789,40.63915,-73.76401,3.4,1/1/2000,7.8,-0.6,
USW00094789,40.63915,-73.76401,3.4,1/2/2000,12.2,2.8,
USW00094789,40.63915,-73.76401,3.4,1/3/2000,15.6,7.8,
USW00094789,40.63915,-73.76401,3.4,1/4/2000,12.8,8.3,
USW00094789,40.63915,-73.76401,3.4,1/5/2000,8.3,-2.2,
USW00094789,40.63915,-73.76401,3.4,1/6/2000,5.6,-5,
USW00094789,40.63915,-73.76401,3.4,1/7/2000,9.4,1.7,
USW00094789,40.63915,-73.76401,3.4,1/8/2000,3.3,-1.7,
USW00094789,40.63915,-73.76401,3.4,1/9/2000,9.4,2.8,
USW00094789,40.63915,-73.76401,3.4,1/10/2000,12.8,5.6,
USW00094789,40.63915,-73.76401,3.4,1/11/2000,11.7,4.4,
USW00094789,40.63915,-73.76401,3.4,1/12/2000,8.9,3.9,
USW00094789,40.63915,-73.76401,3.4,1/13/2000,4.4,-7.8,
USW00094789,40.63915,-73.76401,3.4,1/14/2000,-5,-10,
USW00094789,40.63915,-73.76401,3.4,1/15/2000,-0.6,-8.9,
USW00094789,40.63915,-73.76401,3.4,1/16/2000,8.3,-5.6,
USW00094789,40.63915,-73.76401,3.4,1/17/2000,-5.6,-13.3,
USW00094789,40.63915,-73.76401,3.4,1/18/2000,-7.2,-15.6,
USW00094789,40.63915,-73.76401,3.4,1/19/2000,-1.1,-12.2,
USW00094789,40.63915,-73.76401,3.4,1/20/2000,-2.2,-6.7,
USW00094789,40.63915,-73.76401,3.4,1/21/2000,-4.4,-12.2,
USW00094789,40.63915,-73.76401,3.4,1/22/2000,-6.1,-12.8,
USW00094789,40.63915,-73.76401,3.4,1/23/2000,-2.8,-8.9,
USW00094789,40.63915,-73.76401,3.4,1/24/2000,2.2,-4.4,
USW00094789,40.63915,-73.76401,3.4,1/25/2000,0.6,-3.3,
USW00094789,40.63915,-73.76401,3.4,1/26/2000,-0.6,-5.6,
USW00094789,40.63915,-73.76401,3.4,1/27/2000,-5.6,-11.1,
USW00094789,40.63915,-73.76401,3.4,1/28/2000,-5.6,-12.8,
USW00094789,40.63915,-73.76401,3.4,1/29/2000,0.6,-8.9,
USW00094789,40.63915,-73.76401,3.4,1/30/2000,3.3,-8.9,
USW00094789,40.63915,-73.76401,3.4,1/31/2000,5.6,-2.2,
USW00094789,40.63915,-73.76401,3.4,2/1/2000,1.7,-3.3,
USW00094789,40.63915,-73.76401,3.4,2/2/2000,-1.7,-5.6,
USW00094789,40.63915,-73.76401,3.4,2/3/2000,0,-6.1,
USW00094789,40.63915,-73.76401,3.4,2/4/2000,-0.6,-2.8,
USW00094789,40.63915,-73.76401,3.4,2/5/2000,1.7,-2.8,
USW00094789,40.63915,-73.76401,3.4,2/6/2000,2.8,-2.2,
USW00094789,40.63915,-73.76401,3.4,2/7/2000,6.7,-2.2,
USW00094789,40.63915,-73.76401,3.4,2/8/2000,-1.7,-6.7,
USW00094789,40.63915,-73.76401,3.4,2/9/2000,7.2,-4.4,
USW00094789,40.63915,-73.76401,3.4,2/10/2000,10,-1.7,
USW00094789,40.63915,-73.76401,3.4,2/11/2000,10,-1.1,
USW00094789,40.63915,-73.76401,3.4,2/12/2000,0,-4.4,
USW00094789,40.63915,-73.76401,3.4,2/13/2000,3.9,-6.1,
USW00094789,40.63915,-73.76401,3.4,2/14/2000,10,3.9,
USW00094789,40.63915,-73.76401,3.4,2/15/2000,6.7,-1.7,
USW00094789,40.63915,-73.76401,3.4,2/16/2000,10.6,-2.2,
USW00094789,40.63915,-73.76401,3.4,2/17/2000,4.4,-3.3,
USW00094789,40.63915,-73.76401,3.4,2/18/2000,2.8,-2.8,
USW00094789,40.63915,-73.76401,3.4,2/19/2000,0,-1.1,
USW00094789,40.63915,-73.76401,3.4,2/20/2000,4.4,-1.1,
USW00094789,40.63915,-73.76401,3.4,2/21/2000,6.1,-1.1,
USW00094789,40.63915,-73.76401,3.4,2/22/2000,7.2,-1.7,
USW00094789,40.63915,-73.76401,3.4,2/23/2000,10.6,-1.7,
USW00094789,40.63915,-73.76401,3.4,2/24/2000,13.3,3.3,
USW00094789,40.63915,-73.76401,3.4,2/25/2000,11.1,3.9,
USW00094789,40.63915,-73.76401,3.4,2/26/2000,6.1,3.3,
USW00094789,40.63915,-73.76401,3.4,2/27/2000,10,3.9,
USW00094789,40.63915,-73.76401,3.4,2/28/2000,11.1,4.4,
USW00094789,40.63915,-73.76401,3.4,2/29/2000,13.9,1.7,
USW00094789,40.63915,-73.76401,3.4,3/1/2000,7.2,1.1,
USW00094789,40.63915,-73.76401,3.4,3/2/2000,9.4,2.2,
USW00094789,40.63915,-73.76401,3.4,3/3/2000,8.9,1.1,
USW00094789,40.63915,-73.76401,3.4,3/4/2000,11.7,0,
USW00094789,40.63915,-73.76401,3.4,3/5/2000,13.9,3.3,
USW00094789,40.63915,-73.76401,3.4,3/6/2000,12.8,3.9,
USW00094789,40.63915,-73.76401,3.4,3/7/2000,15,0,
USW00094789,40.63915,-73.76401,3.4,3/8/2000,15,4.4,
USW00094789,40.63915,-73.76401,3.4,3/9/2000,17.8,7.8,
USW00094789,40.63915,-73.76401,3.4,3/10/2000,16.1,5.6,
USW00094789,40.63915,-73.76401,3.4,3/11/2000,6.7,4.4,
USW00094789,40.63915,-73.76401,3.4,3/12/2000,11.7,1.7,
USW00094789,40.63915,-73.76401,3.4,3/13/2000,8.9,0,
USW00094789,40.63915,-73.76401,3.4,3/14/2000,9.4,1.7,
USW00094789,40.63915,-73.76401,3.4,3/15/2000,12.2,2.8,
USW00094789,40.63915,-73.76401,3.4,3/16/2000,16.1,5.6,
USW00094789,40.63915,-73.76401,3.4,3/17/2000,11.1,-2.2,
USW00094789,40.63915,-73.76401,3.4,3/18/2000,2.8,-5.6,
USW00094789,40.63915,-73.76401,3.4,3/19/2000,3.9,-2.8,
USW00094789,40.63915,-73.76401,3.4,3/20/2000,7.8,0,
USW00094789,40.63915,-73.76401,3.4,3/21/2000,6.7,3.3,
USW00094789,40.63915,-73.76401,3.4,3/22/2000,9.4,2.8,
USW00094789,40.63915,-73.76401,3.4,3/23/2000,8.9,0.6,
USW00094789,40.63915,-73.76401,3.4,3/24/2000,18.3,5,
USW00094789,40.63915,-73.76401,3.4,3/25/2000,12.2,5,
USW00094789,40.63915,-73.76401,3.4,3/26/2000,18.3,8.3,
USW00094789,40.63915,-73.76401,3.4,3/27/2000,12.8,2.2,
USW00094789,40.63915,-73.76401,3.4,3/28/2000,14.4,8.3,
USW00094789,40.63915,-73.76401,3.4,3/29/2000,13.9,6.7,
USW00094789,40.63915,-73.76401,3.4,3/30/2000,13.3,4.4,
USW00094789,40.63915,-73.76401,3.4,3/31/2000,14.4,2.8,
USW00094789,40.63915,-73.76401,3.4,4/1/2000,14.4,2.8,
USW00094789,40.63915,-73.76401,3.4,4/2/2000,14.4,6.7,
USW00094789,40.63915,-73.76401,3.4,4/3/2000,13.9,9.4,
USW00094789,40.63915,-73.76401,3.4,4/4/2000,15,10,
USW00094789,40.63915,-73.76401,3.4,4/5/2000,10,5,
USW00094789,40.63915,-73.76401,3.4,4/6/2000,20,3.3,
USW00094789,40.63915,-73.76401,3.4,4/7/2000,15,10,
USW00094789,40.63915,-73.76401,3.4,4/8/2000,15.6,8.9,
USW00094789,40.63915,-73.76401,3.4,4/9/2000,10,-1.1,
USW00094789,40.63915,-73.76401,3.4,4/10/2000,12.8,2.8,
USW00094789,40.63915,-73.76401,3.4,4/11/2000,8.9,2.2,
USW00094789,40.63915,-73.76401,3.4,4/12/2000,11.1,4.4,
USW00094789,40.63915,-73.76401,3.4,4/13/2000,8.9,2.2,
USW00094789,40.63915,-73.76401,3.4,4/14/2000,10,2.2,
USW00094789,40.63915,-73.76401,3.4,4/15/2000,15,6.7,
USW00094789,40.63915,-73.76401,3.4,4/16/2000,22.8,11.7,
USW00094789,40.63915,-73.76401,3.4,4/17/2000,12.2,4.4,
USW00094789,40.63915,-73.76401,3.4,4/18/2000,8.9,4.4,
USW00094789,40.63915,-73.76401,3.4,4/19/2000,15,5.6,
USW00094789,40.63915,-73.76401,3.4,4/20/2000,12.2,8.3,
USW00094789,40.63915,-73.76401,3.4,4/21/2000,8.9,7.8,
USW00094789,40.63915,-73.76401,3.4,4/22/2000,10,7.2,
USW00094789,40.63915,-73.76401,3.4,4/23/2000,10,6.7,
USW00094789,40.63915,-73.76401,3.4,4/24/2000,20.6,6.7,
USW00094789,40.63915,-73.76401,3.4,4/25/2000,12.8,7.8,
USW00094789,40.63915,-73.76401,3.4,4/26/2000,8.3,3.9,
USW00094789,40.63915,-73.76401,3.4,4/27/2000,9.4,3.3,
USW00094789,40.63915,-73.76401,3.4,4/28/2000,13.3,6.7,
USW00094789,40.63915,-73.76401,3.4,4/29/2000,18.9,5,
USW00094789,40.63915,-73.76401,3.4,4/30/2000,18.3,8.3,
USW00094789,40.63915,-73.76401,3.4,5/1/2000,13.9,4.4,
USW00094789,40.63915,-73.76401,3.4,5/2/2000,19.4,11.1,
USW00094789,40.63915,-73.76401,3.4,5/3/2000,16.7,8.3,
USW00094789,40.63915,-73.76401,3.4,5/4/2000,16.7,8.3,
USW00094789,40.63915,-73.76401,3.4,5/5/2000,28.3,11.7,
USW00094789,40.63915,-73.76401,3.4,5/6/2000,29.4,15,
USW00094789,40.63915,-73.76401,3.4,5/7/2000,30.6,15.6,
USW00094789,40.63915,-73.76401,3.4,5/8/2000,28.3,17.2,
USW00094789,40.63915,-73.76401,3.4,5/9/2000,30,17.2,
USW00094789,40.63915,-73.76401,3.4,5/10/2000,23.3,10.6,
USW00094789,40.63915,-73.76401,3.4,5/11/2000,23.9,11.7,
USW00094789,40.63915,-73.76401,3.4,5/12/2000,19.4,13.9,
USW00094789,40.63915,-73.76401,3.4,5/13/2000,21.7,13.3,
USW00094789,40.63915,-73.76401,3.4,5/14/2000,22.2,13.9,
USW00094789,40.63915,-73.76401,3.4,5/15/2000,17.8,10.6,
USW00094789,40.63915,-73.76401,3.4,5/16/2000,18.3,8.9,
USW00094789,40.63915,-73.76401,3.4,5/17/2000,18.9,13.3,
USW00094789,40.63915,-73.76401,3.4,5/18/2000,20,14.4,
USW00094789,40.63915,-73.76401,3.4,5/19/2000,16.7,8.3,
USW00094789,40.63915,-73.76401,3.4,5/20/2000,11.1,7.8,
USW00094789,40.63915,-73.76401,3.4,5/21/2000,13.3,10.6,
USW00094789,40.63915,-73.76401,3.4,5/22/2000,13.9,10.6,
USW00094789,40.63915,-73.76401,3.4,5/23/2000,15.6,10.6,
USW00094789,40.63915,-73.76401,3.4,5/24/2000,23.9,12.8,
USW00094789,40.63915,-73.76401,3.4,5/25/2000,24.4,13.9,
USW00094789,40.63915,-73.76401,3.4,5/26/2000,25,15,
USW00094789,40.63915,-73.76401,3.4,5/27/2000,20,13.9,
USW00094789,40.63915,-73.76401,3.4,5/28/2000,19.4,12.8,
USW00094789,40.63915,-73.76401,3.4,5/29/2000,17.8,10.6,
USW00094789,40.63915,-73.76401,3.4,5/30/2000,16.7,10,
USW00094789,40.63915,-73.76401,3.4,5/31/2000,16.1,11.1,
USW00094789,40.63915,-73.76401,3.4,6/1/2000,26.1,13.3,
USW00094789,40.63915,-73.76401,3.4,6/2/2000,29.4,17.2,
USW00094789,40.63915,-73.76401,3.4,6/3/2000,23.3,15,
USW00094789,40.63915,-73.76401,3.4,6/4/2000,21.7,13.3,
USW00094789,40.63915,-73.76401,3.4,6/5/2000,20,14.4,
USW00094789,40.63915,-73.76401,3.4,6/6/2000,15.6,10.6,
USW00094789,40.63915,-73.76401,3.4,6/7/2000,23.9,10,
USW00094789,40.63915,-73.76401,3.4,6/8/2000,22.8,13.3,
USW00094789,40.63915,-73.76401,3.4,6/9/2000,31.7,17.2,
USW00094789,40.63915,-73.76401,3.4,6/10/2000,32.8,19.4,
USW00094789,40.63915,-73.76401,3.4,6/11/2000,33.3,22.2,
USW00094789,40.63915,-73.76401,3.4,6/12/2000,23.3,13.3,
USW00094789,40.63915,-73.76401,3.4,6/13/2000,16.1,12.8,
USW00094789,40.63915,-73.76401,3.4,6/14/2000,16.1,11.7,
USW00094789,40.63915,-73.76401,3.4,6/15/2000,22.8,13.9,
USW00094789,40.63915,-73.76401,3.4,6/16/2000,25.6,18.9,
USW00094789,40.63915,-73.76401,3.4,6/17/2000,31.7,20,
USW00094789,40.63915,-73.76401,3.4,6/18/2000,23.3,18.9,
USW00094789,40.63915,-73.76401,3.4,6/19/2000,22.8,17.8,
USW00094789,40.63915,-73.76401,3.4,6/20/2000,28.3,16.1,
USW00094789,40.63915,-73.76401,3.4,6/21/2000,24.4,18.3,
USW00094789,40.63915,-73.76401,3.4,6/22/2000,27.8,21.1,
USW00094789,40.63915,-73.76401,3.4,6/23/2000,28.9,19.4,
USW00094789,40.63915,-73.76401,3.4,6/24/2000,27.2,18.3,
USW00094789,40.63915,-73.76401,3.4,6/25/2000,26.1,20,
USW00094789,40.63915,-73.76401,3.4,6/26/2000,27.8,20,
USW00094789,40.63915,-73.76401,3.4,6/27/2000,31.1,21.1,
USW00094789,40.63915,-73.76401,3.4,6/28/2000,25.6,19.4,
USW00094789,40.63915,-73.76401,3.4,6/29/2000,22.2,18.3,
USW00094789,40.63915,-73.76401,3.4,6/30/2000,27.2,17.8,
USW00094789,40.63915,-73.76401,3.4,7/1/2000,26.7,17.2,
USW00094789,40.63915,-73.76401,3.4,7/2/2000,30,18.3,
USW00094789,40.63915,-73.76401,3.4,7/3/2000,27.2,20,
USW00094789,40.63915,-73.76401,3.4,7/4/2000,27.2,20.6,
USW00094789,40.63915,-73.76401,3.4,7/5/2000,31.7,21.7,
USW00094789,40.63915,-73.76401,3.4,7/6/2000,26.1,17.2,
USW00094789,40.63915,-73.76401,3.4,7/7/2000,27.2,17.2,
USW00094789,40.63915,-73.76401,3.4,7/8/2000,26.7,15.6,
USW00094789,40.63915,-73.76401,3.4,7/9/2000,26.1,17.8,
USW00094789,40.63915,-73.76401,3.4,7/10/2000,33.9,21.1,
USW00094789,40.63915,-73.76401,3.4,7/11/2000,28.3,20,
USW00094789,40.63915,-73.76401,3.4,7/12/2000,27.8,18.3,
USW00094789,40.63915,-73.76401,3.4,7/13/2000,28.3,18.3,
USW00094789,40.63915,-73.76401,3.4,7/14/2000,26.7,18.9,
USW00094789,40.63915,-73.76401,3.4,7/15/2000,21.7,18.9,
USW00094789,40.63915,-73.76401,3.4,7/16/2000,25.6,18.3,
USW00094789,40.63915,-73.76401,3.4,7/17/2000,26.1,18.9,
USW00094789,40.63915,-73.76401,3.4,7/18/2000,32.8,20.6,
USW00094789,40.63915,-73.76401,3.4,7/19/2000,22.2,16.7,
USW00094789,40.63915,-73.76401,3.4,7/20/2000,25,16.7,
USW00094789,40.63915,-73.76401,3.4,7/21/2000,26.1,16.7,
USW00094789,40.63915,-73.76401,3.4,7/22/2000,28.9,18.9,
USW00094789,40.63915,-73.76401,3.4,7/23/2000,25.6,17.8,
USW00094789,40.63915,-73.76401,3.4,7/24/2000,25.6,18.9,
USW00094789,40.63915,-73.76401,3.4,7/25/2000,23.3,18.3,
USW00094789,40.63915,-73.76401,3.4,7/26/2000,21.1,17.8,
USW00094789,40.63915,-73.76401,3.4,7/27/2000,21.7,18.3,
USW00094789,40.63915,-73.76401,3.4,7/28/2000,23.9,17.8,
USW00094789,40.63915,-73.76401,3.4,7/29/2000,22.8,18.3,
USW00094789,40.63915,-73.76401,3.4,7/30/2000,25.6,19.4,
USW00094789,40.63915,-73.76401,3.4,7/31/2000,26.7,19.4,
USW00094789,40.63915,-73.76401,3.4,8/1/2000,24.4,18.9,
USW00094789,40.63915,-73.76401,3.4,8/2/2000,27.8,21.1,
USW00094789,40.63915,-73.76401,3.4,8/3/2000,27.2,21.7,
USW00094789,40.63915,-73.76401,3.4,8/4/2000,26.7,21.7,
USW00094789,40.63915,-73.76401,3.4,8/5/2000,27.2,18.3,
USW00094789,40.63915,-73.76401,3.4,8/6/2000,25,17.8,
USW00094789,40.63915,-73.76401,3.4,8/7/2000,32.8,22.8,
USW00094789,40.63915,-73.76401,3.4,8/8/2000,32.2,23.9,
USW00094789,40.63915,-73.76401,3.4,8/9/2000,30.6,23.9,
USW00094789,40.63915,-73.76401,3.4,8/10/2000,30,22.8,
USW00094789,40.63915,-73.76401,3.4,8/11/2000,27.8,20,
USW00094789,40.63915,-73.76401,3.4,8/12/2000,22.8,18.9,
USW00094789,40.63915,-73.76401,3.4,8/13/2000,21.7,17.8,
USW00094789,40.63915,-73.76401,3.4,8/14/2000,20,17.8,
USW00094789,40.63915,-73.76401,3.4,8/15/2000,27.2,18.3,
USW00094789,40.63915,-73.76401,3.4,8/16/2000,30,21.1,
USW00094789,40.63915,-73.76401,3.4,8/17/2000,25,17.8,
USW00094789,40.63915,-73.76401,3.4,8/18/2000,21.1,17.2,
USW00094789,40.63915,-73.76401,3.4,8/19/2000,25,16.1,
USW00094789,40.63915,-73.76401,3.4,8/20/2000,23.3,16.1,
USW00094789,40.63915,-73.76401,3.4,8/21/2000,24.4,13.9,
USW00094789,40.63915,-73.76401,3.4,8/22/2000,24.4,16.1,
USW00094789,40.63915,-73.76401,3.4,8/23/2000,23.3,17.8,
USW00094789,40.63915,-73.76401,3.4,8/24/2000,27.8,18.9,
USW00094789,40.63915,-73.76401,3.4,8/25/2000,27.2,18.9,
USW00094789,40.63915,-73.76401,3.4,8/26/2000,27.2,17.2,
USW00094789,40.63915,-73.76401,3.4,8/27/2000,26.1,18.3,
USW00094789,40.63915,-73.76401,3.4,8/28/2000,26.7,21.1,
USW00094789,40.63915,-73.76401,3.4,8/29/2000,25,20,
USW00094789,40.63915,-73.76401,3.4,8/30/2000,27.2,19.4,
USW00094789,40.63915,-73.76401,3.4,8/31/2000,28.3,21.7,
USW00094789,40.63915,-73.76401,3.4,9/1/2000,27.8,22.8,
USW00094789,40.63915,-73.76401,3.4,9/2/2000,27.8,22.8,
USW00094789,40.63915,-73.76401,3.4,9/3/2000,28.9,22.8,
USW00094789,40.63915,-73.76401,3.4,9/4/2000,29.4,16.1,
USW00094789,40.63915,-73.76401,3.4,9/5/2000,20.6,12.2,
USW00094789,40.63915,-73.76401,3.4,9/6/2000,20.6,11.7,
USW00094789,40.63915,-73.76401,3.4,9/7/2000,20.6,11.1,
USW00094789,40.63915,-73.76401,3.4,9/8/2000,25,15,
USW00094789,40.63915,-73.76401,3.4,9/9/2000,27.2,18.3,
