State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,
Georgia,139.8,131.9,131.3,140.6,143.5,151.9,156.2,157.1,158.3,160.8,169.2,161.4,166.3,169.5,174.8,185.3,182.6,185.3,172.6,162.7,172.3,157.0,136.6,135.0,140.1,137.4,136.6,133.5,133.2,,,,,,,
Hawaii,21.7,19.7,20.8,19.0,20.4,20.4,19.3,18.8,18.8,18.5,18.8,19.3,20.5,21.5,22.5,23.1,23.3,24.2,19.4,19.0,19.1,19.6,19.0,18.6,18.5,18.7,18.7,17.9,18.7,,,,,,,
Idaho,11.4,12.1,11.4,12.5,12.6,13.4,14.0,13.8,14.1,15.0,15.7,15.6,15.0,14.4,15.6,15.8,15.8,16.3,15.5,15.2,16.0,15.8,15.7,17.2,16.7,17.9,18.4,18.6,19.0,,,,,,,
Illinois,191.9,191.9,187.6,204.1,204.2,208.3,222.1,225.4,215.6,225.5,232.8,224.1,226.6,230.3,237.5,243.8,235.6,243.2,241.7,226.6,231.6,230.4,217.5,231.0,234.1,216.4,204.8,203.2,210.4,,,,,,,
Indiana,205.6,202.1,198.8,203.5,203.0,208.4,212.9,217.1,218.0,224.0,237.9,227.5,230.6,236.8,236.2,235.2,232.9,232.7,228.3,205.4,217.8,210.4,195.7,201.2,206.7,187.2,183.2,178.1,191.2,,,,,,,
Iowa,62.9,64.9,63.5,67.6,68.7,72.2,74.2,73.4,77.3,78.4,79.5,78.4,79.1,78.8,80.9,80.9,82.2,87.4,91.2,86.3,90.7,87.6,81.5,82.8,83.9,77.8,74.4,76.7,82.6,,,,,,,
Kansas,69.4,68.0,65.6,71.1,71.5,68.9,74.5,71.4,70.5,74.1,75.9,71.7,76.8,78.6,75.6,72.1,72.3,80.0,74.6,72.9,72.6,70.8,66.0,69.7,70.0,64.2,62.2,58.6,62.4,,,,,,,
Kentucky,118.2,118.4,121.4,132.6,130.5,136.0,137.2,141.7,139.0,143.2,144.5,146.0,146.7,143.0,148.4,150.7,153.0,153.5,151.1,140.7,150.2,149.1,137.6,137.2,138.5,129.0,124.3,114.9,120.9,,,,,,,
Louisiana,195.9,195.2,201.8,205.0,211.3,211.1,215.1,222.0,206.8,206.4,224.7,197.7,206.9,202.7,212.4,205.1,211.6,212.4,214.2,200.1,212.7,215.8,204.7,198.2,197.1,200.5,203.0,211.4,211.0,,,,,,,
Maine,19.1,18.6,19.5,19.0,20.4,19.0,19.6,19.8,19.4,20.5,22.4,22.5,24.0,23.7,24.0,23.1,21.3,21.0,19.1,18.4,18.1,17.6,15.8,16.6,16.7,16.9,16.5,15.6,15.0,,,,,,,
